Order ID,Order Date,Ship Mode,Segment,Customer Name,Region,State,City,Category,Sub-Category,Sales,Quantity,Discount,Profit
ORD-1001,2025-07-12,Standard Class,Home Office,Eric Graham PhD,West,California,Chavezburgh,Office Supplies,Printer Ink,1262.21,3,0.5,-311.23
ORD-1002,2025-10-27,Same Day,Consumer,Angela Hanna,Central,Illinois,Gonzalezchester,Technology,Laptop,1132.26,9,0.4,-80.49
ORD-1003,2024-08-08,First Class,Consumer,Denise George,Central,Michigan,Marissatown,Furniture,Chair,3806.1,3,0.5,-105.46
ORD-1004,2025-07-03,Standard Class,Corporate,Rodney Chavez,West,Washington,Heatherview,Technology,Monitor,4245.1,10,0.2,527.3
ORD-1005,2025-11-08,Second Class,Corporate,Willie Herrera,West,Oregon,Janetton,Furniture,Bookshelf,4432.99,6,0.4,6.11
ORD-1006,2024-09-30,Standard Class,Home Office,Julie Reynolds,West,California,Haleymouth,Technology,Keyboard,1425.97,6,0.1,156.82
ORD-1007,2025-07-24,Second Class,Home Office,Ronald Miranda,East,Pennsylvania,North Russellstad,Office Supplies,Pen,858.84,7,0.2,155.09
ORD-1008,2025-08-03,First Class,Consumer,Brian Johnson,South,Texas,West Veronicaport,Technology,Laptop,4034.98,7,0.2,-335.02
ORD-1009,2025-08-21,Same Day,Home Office,Daniel Short,Central,Ohio,Maryberg,Office Supplies,Stapler,757.21,3,0.1,139.26
ORD-1010,2024-06-12,Same Day,Home Office,Mr. Steven Richardson,Central,Ohio,Andersonberg,Technology,Phone,2572.16,2,0.0,682.33
ORD-1011,2024-01-12,Standard Class,Home Office,Lindsey Pierce,West,Washington,West Michele,Furniture,Bookshelf,4980.8,9,0.2,744.51
ORD-1012,2024-09-26,Second Class,Home Office,Crystal Lawrence,South,Georgia,South Geraldstad,Furniture,Chair,1502.83,3,0.3,-209.14
ORD-1013,2025-06-27,Standard Class,Home Office,Jeffrey Peterson,West,Oregon,New Lynn,Furniture,Bookshelf,3064.4,3,0.2,416.46
ORD-1014,2024-03-21,Standard Class,Home Office,Heather Anderson,South,Florida,Gabrielaport,Technology,Laptop,4649.04,5,0.1,-38.12
ORD-1015,2025-09-13,Same Day,Consumer,Mary Mullen,Central,Illinois,West Lindseyburgh,Office Supplies,Pen,685.54,8,0.4,-79.08
ORD-1016,2024-09-10,Second Class,Consumer,Mr. Rodney Cabrera,East,Pennsylvania,Lake Brianmouth,Furniture,Cabinet,4975.99,6,0.3,664.97
ORD-1017,2024-08-22,Standard Class,Consumer,Jessica Stephenson,South,Texas,New Kevin,Office Supplies,Notebook,1189.07,4,0.0,80.56
ORD-1018,2025-08-07,Same Day,Consumer,Stacy Odom,South,Texas,New Daniel,Office Supplies,Pen,1428.46,8,0.1,173.43
ORD-1019,2024-02-25,Standard Class,Consumer,Mindy Kent,Central,Ohio,Josephstad,Technology,Laptop,529.81,7,0.2,31.71
ORD-1020,2024-10-12,Same Day,Consumer,Richard White,Central,Michigan,Zacharyside,Furniture,Chair,1280.85,4,0.4,-24.46
ORD-1021,2024-08-30,Second Class,Corporate,Ashley Gibbs,West,Washington,New Conniefurt,Office Supplies,Paper,300.41,9,0.0,87.79
ORD-1022,2025-04-10,First Class,Corporate,Sheila Lin,Central,Ohio,Tamarashire,Technology,Keyboard,4517.09,3,0.3,-360.18
ORD-1023,2024-11-17,Standard Class,Consumer,Joanna Morris,Central,Illinois,Heatherstad,Technology,Monitor,1127.62,1,0.4,157.08
ORD-1024,2024-03-10,Second Class,Corporate,Steven Santiago,Central,Michigan,South Brandihaven,Office Supplies,Pen,331.55,9,0.0,87.14
ORD-1025,2025-06-19,First Class,Corporate,Douglas Aguilar,West,Oregon,Lake Christopher,Technology,Tablet,2992.87,10,0.0,463.31
ORD-1026,2024-11-19,Standard Class,Consumer,Danielle Lowe,East,Pennsylvania,Mcbrideland,Office Supplies,Printer Ink,1231.5,7,0.1,221.57
ORD-1027,2024-03-11,Second Class,Corporate,John Hudson,Central,Michigan,Lake Davidview,Office Supplies,Paper,412.64,4,0.4,-77.45
ORD-1028,2025-07-21,First Class,Home Office,Amy Atkins,South,Texas,Port Mary,Furniture,Bookshelf,3532.52,10,0.5,-417.27
ORD-1029,2024-12-17,Second Class,Home Office,Theresa Bowers,West,California,Lake Jonathanberg,Furniture,Chair,4454.08,9,0.1,275.25
ORD-1030,2024-02-15,Standard Class,Corporate,Edward Martin,South,Georgia,Port Danielview,Furniture,Table,4531.42,1,0.0,945.12
ORD-1031,2024-03-18,Second Class,Home Office,Austin Alvarado,East,Pennsylvania,Mccarthybury,Furniture,Desk,3719.09,9,0.5,200.91
ORD-1032,2024-02-10,First Class,Consumer,Kristin Caldwell,West,Washington,Kristinport,Office Supplies,Notebook,783.06,3,0.0,99.5
ORD-1033,2024-08-30,Second Class,Consumer,Walter Richards,East,Pennsylvania,Port Elizabeth,Technology,Monitor,3911.58,7,0.4,-253.52
ORD-1034,2024-09-30,Second Class,Home Office,Sharon Medina,Central,Illinois,South Elizabethville,Technology,Monitor,3922.81,7,0.5,-302.88
ORD-1035,2024-08-21,Second Class,Consumer,Paul Knapp,West,Washington,Lake Jennaburgh,Technology,Keyboard,1151.05,8,0.2,-10.52
ORD-1036,2025-07-03,First Class,Consumer,Kathleen Norris,East,Massachusetts,New Lynnland,Furniture,Table,4328.55,5,0.2,529.85
ORD-1037,2024-11-17,Same Day,Home Office,Amy Decker,West,Washington,Michellechester,Technology,Tablet,4814.54,5,0.0,371.2
ORD-1038,2025-12-04,Second Class,Corporate,Emily Martin,West,Washington,Gregoryfurt,Office Supplies,Pen,1310.88,7,0.0,235.93
ORD-1039,2025-11-13,Same Day,Corporate,Misty Gonzales,Central,Illinois,South Vickie,Office Supplies,Printer Ink,3134.62,2,0.5,71.7
ORD-1040,2024-06-27,First Class,Corporate,Tammy Pearson,Central,Michigan,Lake Miranda,Furniture,Bookshelf,680.07,7,0.5,-12.31
ORD-1041,2025-03-28,Second Class,Home Office,William Marks,West,Washington,Lake Stephanieberg,Furniture,Desk,2177.95,10,0.4,48.09
ORD-1042,2024-08-28,First Class,Consumer,Kyle Long,Central,Michigan,Howardside,Technology,Laptop,1454.74,10,0.2,-117.68
ORD-1043,2025-02-28,Second Class,Home Office,James Black,East,New York,Halebury,Technology,Laptop,1261.97,8,0.4,208.17
ORD-1044,2025-12-13,Same Day,Consumer,Brittany Carroll,Central,Ohio,Susanfurt,Furniture,Desk,780.48,1,0.0,190.91
ORD-1045,2025-03-29,Same Day,Home Office,Courtney Spence,East,New York,South Karen,Furniture,Desk,4017.01,9,0.4,-438.44
ORD-1046,2025-05-11,Second Class,Corporate,Mark Ferguson,Central,Illinois,Palmerbury,Office Supplies,Stapler,2277.85,4,0.5,-487.4
ORD-1047,2024-06-03,Second Class,Corporate,Daniel Mckay,Central,Illinois,Christinashire,Office Supplies,Printer Ink,1210.74,6,0.2,270.71
ORD-1048,2025-03-06,Same Day,Home Office,Rodney Taylor,East,Pennsylvania,Riveraville,Technology,Laptop,2103.6,6,0.4,150.49
ORD-1049,2025-03-05,Second Class,Corporate,Kimberly Smith,West,Oregon,Johnsonshire,Furniture,Cabinet,79.19,6,0.2,7.6
ORD-1050,2024-06-18,Same Day,Consumer,Tyler Harris,East,Massachusetts,Barnetttown,Furniture,Cabinet,193.67,6,0.5,-0.29
ORD-1051,2024-07-05,Standard Class,Corporate,Danielle Schneider,West,Washington,Port Chelsea,Office Supplies,Notebook,3331.85,2,0.5,-676.04
